source,target,capacity
53,50,1
54,27,1
54,124,1
54,168,1
55,38,2
55,41,2
55,48,1
55,99,2
55,106,1
55,157,1
55,183,2
56,39,1
56,47,2
56,81,2
57,27,2
57,68,1
58,0,2
58,12,2
58,34,2
58,65,1
58,96,1
58,102,2
59,5,2
59,12,1
59,23,1
59,58,1
59,70,1
59,187,2
60,79,2
60,110,2
60,179,1
61,15,2
61,21,1
61,112,1
61,143,1
62,0,1
62,51,2
62,58,1
62,87,2
63,3,1
63,8,2
63,19,2
63,22,2
63,43,1
63,92,2
63,118,1
63,131,1
63,145,2
64,16,1
64,30,1
64,36,1
64,50,1
64,107,2
65,5,1
65,12,2
65,59,1
65,60,1
65,77,1
65,187,1
66,19,1
66,22,2
66,25,2
66,32,2
66,43,1
66,84,2
66,105,2
66,132,1
66,145,1
66,156,2
67,20,2
67,56,2
67,72,1
67,142,2
67,154,1
68,18,1
68,27,1
68,46,2
68,102,1
69,24,2
69,66,2
69,89,2
69,126,1
69,132,2
69,143,2
70,23,2
70,34,2
70,58,2
70,116,1
70,177,2
71,7,1
71,47,1
71,56,1
71,72,2
71,191,2
72,56,2
72,128,1
72,174,1
73,20,2
73,67,1
73,72,1
73,141,1
73,164,1
74,4,1
74,15,1
74,21,1
74,61,1
74,133,1
74,188,1
74,195,2
75,24,2
75,55,1
75,196,1
76,1,1
76,6,1
76,11,2
76,13,1
76,49,1
76,88,2
76,117,2
76,170,2
77,5,1
77,59,2
77,60,2
77,179,1
78,10,2
78,35,2
78,38,2
78,41,1
78,48,1
78,55,1
78,189,2
79,0,2
79,12,1
79,58,1
79,62,1
79,65,2
80,45,2
81,7,1
81,67,1
81,72,1
82,7,2
82,39,2
82,47,2
82,56,1
82,71,1
82,72,1
82,111,1
82,174,1
83,24,1
83,25,1
83,55,2
83,75,1
83,110,1
84,15,2
84,24,1
84,25,1
84,32,1
84,69,1
84,75,1
84,83,1
85,3,1
85,8,2
85,19,2
85,29,2
85,63,2
85,145,2
85,185,2
86,11,2
86,21,2
86,28,1
86,76,2
86,112,1
87,0,1
87,20,1
87,79,1
87,81,1
87,95,2
87,135,1
87,136,1
87,159,1
88,9,2
88,28,2
88,37,2
88,86,1
88,198,2
89,20,2
89,24,2
89,73,2
89,93,1
89,130,2
89,143,1
90,41,2
90,48,1
90,77,1
91,1,2
91,21,1
91,37,2
91,76,2
91,86,2
91,88,2
91,117,1
92,15,2
92,19,1
92,22,1
92,32,1
92,43,2
92,66,1
92,84,1
92,85,2
92,156,2
92,183,1
93,4,1
93,15,1
93,61,1
93,69,1
93,73,2
93,74,1
93,132,2
93,143,2
94,12,2
94,59,2
94,60,1
94,65,2
94,77,2
94,79,1
94,179,2
95,46,2
95,51,2
95,58,2
95,62,2
95,79,2
95,96,2
95,102,1
96,0,2
96,12,2
96,34,1
96,62,1
97,31,1
97,33,1
97,53,1
97,115,2
97,194,2
98,37,1
98,40,2
98,117,1
98,147,2
98,148,1
99,10,1
99,35,2
99,146,2
99,189,1
100,1,2
100,37,2
100,76,2
100,86,1
100,88,1
100,91,1
100,117,2
100,120,1
101,53,2
101,64,2
102,0,1
102,18,2
102,46,2
102,57,2
102,62,2
102,96,2
102,121,1
102,139,2
102,184,2
103,27,2
103,54,1
103,168,2
104,14,2
104,45,2
104,80,1
104,97,2
104,199,2
105,15,2
105,24,2
105,25,1
105,32,1
105,69,2
105,75,2
105,83,2
105,84,1
105,93,1
105,132,1
106,32,2
106,83,2
106,99,1
106,131,2
106,146,2
107,36,2
107,50,1
107,101,1
107,137,1
107,190,2
108,42,2
108,70,1
108,121,2
109,7,1
109,56,1
109,71,1
109,72,2
109,82,2
110,25,2
110,75,2
110,126,1
110,159,1
111,7,2
111,50,2
111,53,2
111,71,1
111,97,1
111,109,1
111,124,1
112,4,1
112,15,1
112,21,1
112,74,2
112,93,1
113,2,1
113,6,2
113,13,2
113,26,1
113,44,2
114,39,2
114,54,2
114,56,2
114,82,1
114,103,1
114,109,2
114,124,2
114,138,2
115,33,2
115,53,1
115,111,2
116,5,1
116,23,1
116,34,1
116,59,2
116,173,1
116,187,1
117,1,1
117,9,2
117,40,1
117,88,2
118,8,1
118,17,1
119,10,1
119,17,2
119,35,1
119,38,2
119,55,1
119,78,2
119,99,1
119,106,1
119,144,1
120,9,1
120,37,2
120,98,1
120,133,2
121,18,1
121,46,1
121,57,2
121,68,1
121,96,1
121,150,1
121,162,1
122,1,2
122,9,1
122,98,1
122,117,1
122,147,2
122,166,1
122,198,1
123,2,2
123,13,2
123,26,2
123,113,1
124,7,1
124,31,1
124,39,2
124,56,2
124,82,2
124,109,1
124,115,2
124,138,1
124,175,1
125,33,2
125,53,1
125,97,2
125,111,2
125,115,1
125,160,2
126,20,2
126,24,1
126,51,1
126,89,2
126,105,2
126,142,2
126,159,1
127,3,2
127,8,2
127,19,2
127,43,1
127,63,2
127,85,2
127,118,2
128,71,2
129,37,2
129,120,2
129,128,1
129,164,1
130,20,1
130,24,1
130,25,2
130,69,2
130,105,2
130,110,2
130,126,1
131,17,1
131,32,2
131,52,2
131,92,2
131,99,1
131,118,2
132,15,2
132,24,1
132,32,1
132,84,1
132,89,2
132,126,1
132,130,1
133,4,1
133,37,1
133,61,2
133,86,1
133,88,2
133,91,1
133,100,2
133,112,1
133,152,1
133,188,1
134,14,1
134,33,2
134,45,2
134,53,2
134,80,1
134,97,2
134,104,2
134,125,1
134,172,2
135,0,1
135,46,1
135,58,2
135,62,1
135,95,1
135,96,1
135,102,2
135,121,2
136,7,1
136,56,2
136,62,2
136,67,2
136,81,1
137,30,2
137,36,2
137,64,1
137,101,2
137,148,1
137,190,1
138,54,2
138,56,1
138,82,2
138,103,1
138,186,2
138,194,1
139,34,2
139,96,2
139,108,1
139,121,1
140,7,2
140,39,2
140,47,1
140,56,2
140,67,1
140,71,2
140,72,2
140,81,2
140,82,1
140,109,2
140,111,2
140,114,1
140,124,2
140,138,1
141,47,2
141,67,2
141,71,1
141,72,2
141,81,2
141,128,1
142,20,1
142,51,1
142,73,1
142,81,2
142,87,2
142,89,2
142,130,1
142,136,2
142,141,2
143,4,2
143,20,2
143,73,2
143,126,1
143,130,1
143,132,1
143,141,2
143,142,1
144,32,2
144,35,2
144,55,1
144,99,2
144,106,1
144,131,2
144,146,2
145,3,1
145,8,2
145,19,1
145,21,1
145,22,1
145,29,2
145,43,1
145,92,1
145,127,1
146,32,2
146,55,2
146,66,2
146,92,2
146,118,1
146,119,1
146,131,2
146,185,2
147,9,1
148,9,2
148,16,1
148,120,1
148,147,1
149,14,1
149,33,1
149,45,2
149,80,2
149,104,2
149,134,1
149,163,1
150,18,1
150,42,2
150,108,2
150,139,2
151,25,1
151,55,1
151,75,2
151,83,2
151,106,1
151,144,1
152,11,1
152,28,2
152,76,1
152,86,2
152,88,1
152,91,1
152,100,1
152,117,2
152,153,2
152,195,2
152,198,2
153,1,2
153,2,2
153,6,1
153,11,1
153,13,2
153,49,2
153,76,2
153,170,2
153,182,2
153,192,2
154,7,2
154,47,1
154,56,2
154,71,1
154,72,1
154,73,2
154,81,2
154,109,2
154,128,1
154,140,2
154,141,2
154,142,1
154,164,1
155,18,2
155,27,2
155,46,2
155,54,2
155,57,2
155,68,1
155,102,2
155,103,2
155,162,2
156,15,2
156,24,2
156,25,2
156,69,1
156,84,2
156,93,2
156,105,1
156,132,1
157,32,1
157,52,2
157,92,2
157,99,2
157,106,2
157,118,2
157,119,2
157,131,2
157,144,2
157,146,2
157,189,2
158,20,2
158,67,1
158,72,2
158,73,1
158,81,1
158,89,1
158,126,1
158,130,1
158,141,2
158,142,1
158,143,1
158,154,1
158,176,1
159,0,2
159,20,2
159,51,1
159,60,2
159,65,2
159,79,1
159,95,1
159,130,2
160,31,2
160,97,1
160,114,2
160,115,1
160,124,2
160,138,2
161,21,1
161,29,1
161,74,1
161,76,1
161,86,2
161,88,2
161,91,2
161,100,2
161,112,2
161,133,1
161,152,1
162,27,1
162,46,2
162,57,1
162,68,2
162,96,2
162,102,1
162,180,2
163,31,1
163,33,2
163,45,1
163,53,2
163,97,1
163,104,1
163,115,1
163,125,1
163,134,2
163,160,2
163,175,2
163,199,2
164,47,2
164,71,1
164,72,2
164,128,2
164,141,1
164,158,1
165,47,1
165,71,2
165,72,2
165,73,2
165,128,1
165,141,1
165,143,1
165,154,1
165,158,2
165,164,1
166,1,1
166,9,1
166,28,2
166,37,2
166,40,1
166,76,2
166,86,1
166,88,1
166,91,1
166,100,2
166,117,1
166,152,1
166,198,1
167,36,1
167,53,2
167,64,2
167,101,1
167,134,1
168,27,2
168,39,2
168,46,2
168,114,1
168,136,1
168,138,2
168,155,1
169,37,1
169,120,1
169,128,2
169,129,2
170,2,2
170,6,2
170,11,2
170,13,2
170,49,1
170,123,1
170,152,2
171,35,1
171,78,2
171,197,1
172,33,2
172,45,1
172,53,1
172,97,2
172,104,2
172,115,1
172,125,1
172,149,1
172,160,2
172,163,2
173,34,1
173,70,1
173,108,1
173,139,2
173,150,1
174,47,2
174,71,2
174,109,1
174,111,2
174,128,1
174,140,1
174,141,2
174,154,2
174,164,2
174,165,2
174,191,2
175,31,1
175,33,2
175,39,2
175,97,2
175,114,1
175,115,2
175,125,2
175,138,2
175,160,2
175,172,2
176,0,1
176,20,2
176,51,1
176,62,2
176,67,1
176,81,2
176,87,1
176,136,2
176,142,2
177,5,1
177,23,1
177,59,2
177,65,1
177,77,1
177,94,1
177,116,1
178,24,2
178,25,2
178,60,2
178,69,2
178,75,2
178,83,1
178,84,2
178,105,2
178,110,2
178,126,2
178,130,2
178,132,2
178,151,1
178,156,1
178,196,2
179,5,2
179,12,2
179,58,1
179,59,2
179,65,2
179,79,2
179,116,2
179,177,1
180,18,1
180,27,2
180,46,1
180,57,1
180,62,2
180,68,2
180,96,1
180,102,1
180,121,2
180,135,1
180,155,1
180,168,1
181,14,2
181,33,1
181,45,1
181,80,1
181,104,1
181,134,2
181,149,2
182,2,1
182,6,1
182,49,1
182,76,1
182,123,2
182,170,2
183,99,1
183,106,1
183,119,1
183,131,2
183,144,2
183,146,2
183,157,2
183,189,1
184,34,1
184,58,2
184,70,2
184,96,1
184,108,2
184,121,1
184,139,2
184,150,1
184,173,1
185,8,2
185,32,2
185,43,2
185,52,1
185,63,1
185,92,1
185,118,2
185,127,1
185,131,1
185,157,2
186,27,1
186,39,1
186,54,1
186,103,2
186,114,2
186,124,2
186,160,2
186,168,2
186,175,2
186,194,1
187,5,2
187,77,2
187,94,1
187,177,2
187,179,2
188,4,1
188,21,2
188,61,1
188,86,2
188,93,2
188,100,2
188,112,1
188,161,1
189,10,1
189,17,1
189,35,2
189,38,2
189,55,2
189,106,2
189,119,2
189,144,1
189,146,1
190,30,2
190,36,2
190,64,2
190,147,1
190,148,1
191,47,2
191,67,1
191,72,1
191,73,2
191,128,2
191,141,2
191,142,1
191,143,2
191,154,1
191,158,2
191,164,2
191,165,1
192,6,2
192,9,1
192,26,2
192,37,2
192,40,1
192,76,2
192,88,1
192,91,2
192,100,1
192,117,2
192,122,2
192,152,2
192,166,2
193,36,2
193,64,1
193,101,2
193,107,2
193,137,1
193,167,1
194,31,1
194,39,2
194,114,1
194,115,1
194,124,2
194,125,1
194,160,2
194,163,1
194,172,1
194,175,2
194,199,2
195,11,1
195,28,1
195,61,1
195,76,1
195,86,2
195,88,1
195,91,1
195,100,1
195,112,2
195,133,1
195,161,1
195,166,1
195,188,1
196,24,2
196,25,1
196,60,2
196,83,1
196,90,2
196,110,2
196,151,1
197,10,2
197,35,1
197,38,1
197,78,2
197,119,2
197,189,1
198,1,1
198,6,1
198,9,2
198,26,2
198,28,2
198,40,2
198,44,1
198,76,1
198,91,2
198,117,1
198,153,2
198,170,1
198,192,1
199,31,2
199,33,1
199,97,1
199,115,2
199,125,2
199,134,1
199,149,1
199,160,1
199,172,2
199,175,2
199,181,1
